Area(in^2),Density(pcf),Thickness(in),Weight(lbf),Fragility(G)
77.66666667,1.5,2,143.3333333,22.52934886
77.66666667,1.5,2,157.7777778,20.38046092
77.66666667,1.5,2,172.2222222,18.89575378
77.66666667,1.5,2,186.6666667,17.84811945
77.66666667,1.5,2,201.1111111,15.46780265
77.66666667,1.5,2,215.5555556,14.35463438
77.66666667,1.5,2,230,13.39159022
77.66666667,1.5,2.25,100,32.2983085
77.66666667,1.5,2.25,114.4444444,27.57576654
77.66666667,1.5,2.25,128.8888889,24.02697882
77.66666667,1.5,2.25,143.3333333,22.01790987
77.66666667,1.5,2.25,157.7777778,20.00884093
77.66666667,1.5,2.25,172.2222222,18.41630915
77.66666667,1.5,2.25,186.6666667,17.40654112
77.66666667,1.5,2.25,201.1111111,15.15814584
77.66666667,1.5,2.25,215.5555556,14.01051082
77.66666667,1.5,2.25,230,13.06304129
77.66666667,1.5,2.5,100,32.28671227
77.66666667,1.5,2.5,114.4444444,27.24844577
77.66666667,1.5,2.5,128.8888889,23.87822924
77.66666667,1.5,2.5,143.3333333,21.73978773
77.66666667,1.5,2.5,157.7777778,19.6447803
77.66666667,1.5,2.5,172.2222222,18.12744117
77.66666667,1.5,2.5,186.6666667,17.07631304
77.66666667,1.5,2.5,201.1111111,14.91042039
77.66666667,1.5,2.5,215.5555556,13.73521197
77.66666667,1.5,2.5,230,12.80020214
77.66666667,1.5,2.75,100,32.27722445
77.66666667,1.5,2.75,114.4444444,26.98063787
77.66666667,1.5,2.75,128.8888889,23.75652504
77.66666667,1.5,2.75,143.3333333,21.51223325
77.66666667,1.5,2.75,157.7777778,19.34691251
77.66666667,1.5,2.75,172.2222222,17.89109464
77.66666667,1.5,2.75,186.6666667,16.80612643
77.66666667,1.5,2.75,201.1111111,14.70773593
77.66666667,1.5,2.75,215.5555556,13.50996746
77.66666667,1.5,2.75,230,12.58515192
77.66666667,1.5,3,100,32.26931793
77.66666667,1.5,3,114.4444444,26.75746462
77.66666667,1.5,3,128.8888889,23.65510487
77.66666667,1.5,3,143.3333333,21.32260451
77.66666667,1.5,3,157.7777778,19.09868935
77.66666667,1.5,3,172.2222222,17.6941392
77.66666667,1.5,3,186.6666667,16.58097093
77.66666667,1.5,3,201.1111111,14.53883222
77.66666667,1.5,3,215.5555556,13.3222637
77.66666667,1.5,3,230,12.40594341
77.66666667,2,0.75,100,46.64377682
77.66666667,2,0.75,114.4444444,38.97879755
77.66666667,2,0.75,128.8888889,36.05775168
77.66666667,2,0.75,143.3333333,34.10006777
77.66666667,2,0.75,157.7777778,32.14238386
77.66666667,2,0.75,172.2222222,30.85917545
77.66666667,2,0.75,186.6666667,30.52103004
77.66666667,2,0.75,201.1111111,23.47277152
77.66666667,2,0.75,215.5555556,22.56789334
77.66666667,2,0.75,230,21.97434024
77.66666667,2,1,100,42.79377132
77.66666667,2,1,114.4444444,36.13007853
77.66666667,2,1,128.8888889,33.13818384
77.66666667,2,1,143.3333333,30.80085562
77.66666667,2,1,157.7777778,28.98165456
77.66666667,2,1,172.2222222,27.5087582
77.66666667,2,1,186.6666667,26.03586184
77.66666667,2,1,201.1111111,21.49479649
77.66666667,2,1,215.5555556,20.03613005
77.66666667,2,1,230,19.54656652
77.66666667,2,1.25,100,40.66462549
77.66666667,2,1.25,114.4444444,34.80912136
77.66666667,2,1.25,128.8888889,31.36893684
77.66666667,2,1.25,143.3333333,29.18696119
77.66666667,2,1.25,157.7777778,27.56061627
77.66666667,2,1.25,172.2222222,25.93427135
77.66666667,2,1.25,186.6666667,24.30792643
77.66666667,2,1.25,201.1111111,20.73092388
77.66666667,2,1.25,215.5555556,19.65338614
77.66666667,2,1.25,230,18.96348957
77.66666667,2,1.5,100,39.4727289
77.66666667,2,1.5,114.4444444,34.20677158
77.66666667,2,1.5,128.8888889,30.17720553
77.66666667,2,1.5,143.3333333,27.32946226
77.66666667,2,1.5,157.7777778,25.87079581
77.66666667,2,1.5,172.2222222,24.41212937
77.66666667,2,1.5,186.6666667,22.95346293
77.66666667,2,1.5,201.1111111,20.22167547
77.66666667,2,1.5,215.5555556,19.39822354
77.66666667,2,1.5,230,18.5747716
77.66666667,2,1.75,100,38.7662196
77.66666667,2,1.75,114.4444444,33.6053509
77.66666667,2,1.75,128.8888889,29.82899135
77.66666667,2,1.75,143.3333333,26.76538161
77.66666667,2,1.75,157.7777778,25.27753249
77.66666667,2,1.75,172.2222222,23.78968338
77.66666667,2,1.75,186.6666667,22.30183426
77.66666667,2,1.75,201.1111111,19.33650773
77.66666667,2,1.75,215.5555556,18.54338342
77.66666667,2,1.75,230,17.75025912
77.66666667,2,2,100,38.23633763
77.66666667,2,2,114.4444444,33.15428539
77.66666667,2,2,128.8888889,29.56783072
77.66666667,2,2,143.3333333,26.34232112
77.66666667,2,2,157.7777778,24.832585
77.66666667,2,2,172.2222222,23.32284888
77.66666667,2,2,186.6666667,21.81311276
77.66666667,2,2,201.1111111,18.67263192
77.66666667,2,2,215.5555556,17.90225334
77.66666667,2,2,230,17.13187476
77.66666667,2,2.25,100,37.5716276
77.66666667,2,2.25,114.4444444,32.80345666
77.66666667,2,2.25,128.8888889,29.36470578
77.66666667,2,2.25,143.3333333,26.01327408
77.66666667,2,2.25,157.7777778,24.48651473
77.66666667,2,2.25,172.2222222,22.95975538
77.66666667,2,2.25,186.6666667,21.43299604
77.66666667,2,2.25,201.1111111,18.15628407
77.66666667,2,2.25,215.5555556,17.40359661
77.66666667,2,2.25,230,16.65090914
77.66666667,2,2.5,100,37.03985958
77.66666667,2,2.5,114.4444444,32.0289293
77.66666667,2,2.5,128.8888889,28.62267901
77.66666667,2,2.5,143.3333333,25.40189777
77.66666667,2,2.5,157.7777778,23.82184144
77.66666667,2,2.5,172.2222222,22.2477627
77.66666667,2,2.5,186.6666667,20.73132453
77.66666667,2,2.5,201.1111111,17.7432058
77.66666667,2,2.5,215.5555556,17.00467122
77.66666667,2,2.5,230,16.26613665
77.66666667,2,2.75,100,36.60477665
77.66666667,2,2.75,114.4444444,31.39522509
77.66666667,2,2.75,128.8888889,28.01556619
77.66666667,2,2.75,143.3333333,24.90168079
77.66666667,2,2.75,157.7777778,23.27801784
77.66666667,2,2.75,172.2222222,21.66522323
77.66666667,2,2.75,186.6666667,20.15722966
77.66666667,2,2.75,201.1111111,17.40523266
77.66666667,2,2.75,215.5555556,16.67827772
77.66666667,2,2.75,230,15.95132279
77.66666667,2,3,100,36.24220755
77.66666667,2,3,114.4444444,30.86713824
77.66666667,2,3,128.8888889,27.50963885
77.66666667,2,3,143.3333333,24.4848333
77.66666667,2,3,157.7777778,22.82483151
77.66666667,2,3,172.2222222,21.17977368
77.66666667,2,3,186.6666667,19.67881726
77.66666667,2,3,201.1111111,17.12358838
77.66666667,2,3,215.5555556,16.40628314
77.66666667,2,3,230,15.68897791
105.3333333,1.25,0.75,100,44.85109681
105.3333333,1.25,0.75,114.4444444,37.99005469
105.3333333,1.25,0.75,128.8888889,34.7241841
105.3333333,1.25,0.75,143.3333333,33.37777413
105.3333333,1.25,0.75,157.7777778,32.03136417
105.3333333,1.25,0.75,172.2222222,31.38337167
105.3333333,1.25,0.75,186.6666667,31.59481819
105.3333333,1.25,0.75,201.1111111,22.95302492
105.3333333,1.25,0.75,215.5555556,22.02388171
105.3333333,1.25,0.75,230,21.36323236
105.3333333,1.25,1,100,41.98481427
105.3333333,1.25,1,114.4444444,34.02835204
105.3333333,1.25,1,128.8888889,30.80413789
105.3333333,1.25,1,143.3333333,28.75685241
105.3333333,1.25,1,157.7777778,27.24377255
105.3333333,1.25,1,172.2222222,26.10261868
105.3333333,1.25,1,186.6666667,24.96146481
105.3333333,1.25,1,201.1111111,21.72662133
105.3333333,1.25,1,215.5555556,19.92409971
105.3333333,1.25,1,230,18.95789211
105.3333333,1.25,1.25,100,38.12685516
105.3333333,1.25,1.25,114.4444444,35.94568563
105.3333333,1.25,1.25,128.8888889,32.11455472
105.3333333,1.25,1.25,143.3333333,29.04786192
105.3333333,1.25,1.25,157.7777778,27.06677892
105.3333333,1.25,1.25,172.2222222,25.53200711
105.3333333,1.25,1.25,186.6666667,23.9972353
105.3333333,1.25,1.25,201.1111111,20.02243835
105.3333333,1.25,1.25,215.5555556,18.33463931
105.3333333,1.25,1.25,230,17.45209395
105.3333333,1.25,1.5,100,35.79541793
105.3333333,1.25,1.5,114.4444444,40.08000094
105.3333333,1.25,1.5,128.8888889,34.41108743
105.3333333,1.25,1.5,143.3333333,30.65326917
105.3333333,1.25,1.5,157.7777778,28.42160721
105.3333333,1.25,1.5,172.2222222,26.18994525
105.3333333,1.25,1.5,186.6666667,23.95828329
105.3333333,1.25,1.5,201.1111111,18.88631637
105.3333333,1.25,1.5,215.5555556,17.27499905
105.3333333,1.25,1.5,230,16.44822851
105.3333333,1.25,1.75,100,41.48313022
105.3333333,1.25,1.75,114.4444444,35.92196782
105.3333333,1.25,1.75,128.8888889,31.86175958
105.3333333,1.25,1.75,143.3333333,28.89360577
105.3333333,1.25,1.75,157.7777778,26.79754127
105.3333333,1.25,1.75,172.2222222,24.70147677
105.3333333,1.25,1.75,186.6666667,22.60541227
105.3333333,1.25,1.75,201.1111111,18.22973695
105.3333333,1.25,1.75,215.5555556,16.824042
105.3333333,1.25,1.75,230,15.9787376
105.3333333,1.25,2,100,45.74891445
105.3333333,1.25,2,114.4444444,32.80344299
105.3333333,1.25,2,128.8888889,29.9497637
105.3333333,1.25,2,143.3333333,27.57385822
105.3333333,1.25,2,157.7777778,25.57949182
105.3333333,1.25,2,172.2222222,23.58512542
105.3333333,1.25,2,186.6666667,21.59075901
105.3333333,1.25,2,201.1111111,17.73730239
105.3333333,1.25,2,215.5555556,16.48582421
105.3333333,1.25,2,230,15.62661942
105.3333333,1.25,2.25,100,41.62754903
105.3333333,1.25,2.25,114.4444444,30.37792367
105.3333333,1.25,2.25,128.8888889,28.46265579
105.3333333,1.25,2.25,143.3333333,26.5473879
105.3333333,1.25,2.25,157.7777778,24.63212002
105.3333333,1.25,2.25,172.2222222,22.71685214
105.3333333,1.25,2.25,186.6666667,20.80158425
105.3333333,1.25,2.25,201.1111111,17.35429772
105.3333333,1.25,2.25,215.5555556,16.22276593
105.3333333,1.25,2.25,230,15.35274973
105.3333333,1.25,2.5,100,38.3304567
105.3333333,1.25,2.5,114.4444444,30.15499243
105.3333333,1.25,2.5,128.8888889,28.18361046
105.3333333,1.25,2.5,143.3333333,26.21222849
105.3333333,1.25,2.5,157.7777778,24.24084652
105.3333333,1.25,2.5,172.2222222,22.26946455
105.3333333,1.25,2.5,186.6666667,20.29808259
105.3333333,1.25,2.5,201.1111111,17.04789399
105.3333333,1.25,2.5,215.5555556,16.01231931
105.3333333,1.25,2.5,230,15.13365397
105.3333333,1.25,2.75,100,35.6328357
105.3333333,1.25,2.75,114.4444444,29.97259413
105.3333333,1.25,2.75,128.8888889,27.95530064
105.3333333,1.25,2.75,143.3333333,25.93800715
105.3333333,1.25,2.75,157.7777778,23.92071366
105.3333333,1.25,2.75,172.2222222,21.90342017
105.3333333,1.25,2.75,186.6666667,19.88612668
105.3333333,1.25,2.75,201.1111111,16.79720003
105.3333333,1.25,2.75,215.5555556,15.84013571
105.3333333,1.25,2.75,230,14.95439381
105.3333333,1.25,3,100,33.3848182
105.3333333,1.25,3,114.4444444,29.82059556
105.3333333,1.25,3,128.8888889,27.76504246
105.3333333,1.25,3,143.3333333,25.70948937
105.3333333,1.25,3,157.7777778,23.65393628
105.3333333,1.25,3,172.2222222,21.59838318
105.3333333,1.25,3,186.6666667,19.54283009
105.3333333,1.25,3,201.1111111,16.5882884
105.3333333,1.25,3,215.5555556,15.69664937
105.3333333,1.25,3,230,14.80501034
105.3333333,1.5,0.75,100,51.43224967
105.3333333,1.5,0.75,114.4444444,43.421012
105.3333333,1.5,0.75,128.8888889,40.10163705
105.3333333,1.5,0.75,143.3333333,37.79377445
105.3333333,1.5,0.75,157.7777778,35.48591185
105.3333333,1.5,0.75,172.2222222,33.17804926
105.3333333,1.5,0.75,186.6666667,31.53971151
105.3333333,1.5,0.75,201.1111111,25.40383576
105.3333333,1.5,0.75,215.5555556,24.12132197
105.3333333,1.5,0.75,230,22.93585206
105.3333333,1.5,1,100,48.030733
105.3333333,1.5,1,114.4444444,42.02703061
105.3333333,1.5,1,128.8888889,36.81020631
105.3333333,1.5,1,143.3333333,34.37686541
105.3333333,1.5,1,157.7777778,31.94352452
105.3333333,1.5,1,172.2222222,29.51018362
105.3333333,1.5,1,186.6666667,27.79432448
105.3333333,1.5,1,201.1111111,23.12054384
105.3333333,1.5,1,215.5555556,21.40203781
105.3333333,1.5,1,230,20.54581204
105.3333333,1.5,1.25,100,48.92362965
105.3333333,1.5,1.25,114.4444444,40.26390492
105.3333333,1.5,1.25,128.8888889,35.61910019
105.3333333,1.5,1.25,143.3333333,32.66542956
105.3333333,1.5,1.25,157.7777778,30.18029983
105.3333333,1.5,1.25,172.2222222,27.69517009
105.3333333,1.5,1.25,186.6666667,26.07101846
105.3333333,1.5,1.25,201.1111111,22.04550998
